,Title,Author,Goodreads Rating,Description
998,Spiritual+Healing,Jack Angelo,4.44,"""The world is not in need of a new religion, nor is the world in need of a new philosophy: What the world needs is healing and regeneration. The world needs people who, through devotion to God, are so filled with the Spirit that they can be instruments"
1000,The+Bhagavadgita,-,4.42,"No other Sanskrit work approaches the Bhagavadgita in the influence it has exerted in the West. Philosophers such as Emerson and the other New England Transcendentalists were deeply affected by its insights, a dozen or more scholars, including Annie Besant and Mahatma Gandhi, have attempted its translation, and thousands of individuals struggling with the problems divided loyalties have found comfort and wisdom in its pages.The Bhagavadgita (""Song of the Lord"") tells of the young and virtuous Prince Arjuna who is driven to lead his forces into battle against an opposing army composed of close relatives and others whom he loves. The Lord Krsna, appearing in the poem as Arjuna's friend and charioteer, persuades him that he must do battle, and we see Arjuna changing from revulsion at the thought of killing members of his family to resignation and awareness of duty, to manly acceptance of his role as warrior and defender of his kingdom.The Bhagavadgita is a self-contained episode in the Mahabharata, a vast collection of epics, legends, romances, theology, and metaphysical doctrine that reflects the history and culture of the whole of Hindu civilization. The present edition forms a part of J. A. B. van Buitenen's widely acclaimed translation of this great work. Here English and Sanskrit are printed on facing pages, enabling those with some knowledge of Sanskrit to appreciate van Buitenen's accurate rendering of the intimate, familial tone and directness of the original poem."
1002,Terror+on+Board,"U B Bhat, Sanjive Sharma",4.2,The Flight Captain's tale on hijacked IC 814.
1003,Thinking+Course,Edward De Bono,3.85,"Argues that thinking is a skill that can be developed, offers advice on perception, lateral thinking, and decision making, and tells how to start a thinking club."
1004,The+art+of+thinking+clearly,Rolf Dobelli,3.83,"In engaging prose and with practical examples and anecdotes, an eye-opening look at human reasoning and essential reading for anyone with important decisions to make.Have you ever:• Invested time in something that, with hindsight, just wasn't worth it?• Overpayed in an Ebay auction?• Continued doing something you knew was bad for you?• Sold stocks too late, or too early?• Taken credit for success, but blamed failure on external circumstances?• Backed the wrong horse?These are examples of cognitive biases, simple errors we all make in our day-to-day thinking. But by knowing what they are and how to spot them, we can avoid them and make better choices-whether dealing with a personal problem or a business negotiation; trying to save money or make money; working out what we do or don't want in life: and how best to get it.Simple, clear and always surprising, this indispensable book will change the way you think and transform your decision-making-work, at home, every day. It reveals, in 99 short chapters, the most common errors of judgment, and how to avoid them."
1006,Airport,Arthur Hailey,3.94,"As a raging blizzard wreaks havoc at Lincoln International Airport outside Chicago, airport and airline personnel try to cope with this unstoppable force of nature that is endangering thousands of lives. And in the air, a lone plane struggles to reach its destination. Over the course of seven pulse-pounding hours, a tense human drama plays out as a brilliant airport manager, an arrogant pilot, a tough maintenance man, and a beautiful stewardess strive to avert disaster.Featuring a diverse cast of vibrant characters, Airport is both a realistic depiction of the airline industry and a novel of nail-biting suspense."
1007,Master+of+the+Game,Sidney Sheldon,4.11,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans. Kate Blackwell is one of the richest and most powerful women in the world. She is an enigma, a woman surrounded by a thousand unanswered questions. Her father was a diamond prospector who struck it rich beyond his wildest dreams. Her mother was the daughter of a crooked Afrikaaner merchant. Her conception was itself an act of hate-filled vengeance. At the extravagent celebrations of her ninetieth birthday, there are toasts from a Supreme Court Judge and a telegram from the White House. And for Kate there are ghosts, ghosts of absent friends and of enemies. Ghosts from a life of blackmail and murder. Ghosts from an empire spawned by naked ambition! Sidney Sheldon is one of the most popular storytellers in the world. This is one of his best-loved novels, a compulsively readable thriller, packed with suspense, intrigue and passion. It will recruit a new generation of fans to his writing."
1008,The+Fellowship+of+the+ring,J R R Tolkien,4.35,"Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover)One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.--back cover"
1009,The+Prodigal+Daughter,Jeffrey Archer,3.94,"With a will of steel, Polish immigrant Florentyna Rosnovski is indeed Abel's daughter. She shares with her father a love of America, his ideals, and his dream for the future. But she wants more to be the first female president.Golden boy Richard Kane was born into a life of luxury. The scion of a banking magnate he is successful, handsome, and determined to carve his own path in the world-and to build a future with the woman he loves. With Florentyna's ultimate goal only a heartbeat away, both are about to discover the shattering price of power as a titanic battle of betrayal and deception reaches out from the past-a blood feud between two generations that threatens to destroy everything Florentyna and Richard have fought to achieve."
1010,Kane+and+Abel,Jeffrey Archer,4.29,"Born on the same day near the turn of the century on opposite sides of the world, both men are brought together by fate and the quest of a dream. These two men -- ambitious, powerful, ruthless -- are locked in a relentless struggle to build an empire, fuelled by their all-consuming hatred. Over 60 years and three generations, through war, marriage, fortune, and disaster, Kane and Abel battle for the success and triumph that only one man can have."
1011,The+Fountainhead,Ayn Rand,3.86,"Esta es la historia de un joven e intransigente arquitecto, de su violenta lucha en contra de los estándares y convenciones del mundo y de su explosiva relación con una hermosa mujer que lo amó apasionadamente. Novela audaz, original y brillantemente escrita, nos revela las vicisitudes de un hombre enfrentado a quienes intentan destruirlo. Ayn Rand es un fenómeno sin precedentes en la literatura moderna. Como sus héroes, ella sola enfrentó a las doctrinas colectivistas y se convirtió en la más sobresaliente defensora de la libertad y el individualismo.El Manantial, desde su aparición, se convirtió en un best seller mundial. Las ideas y propuestas de su autora han cambiado la vida de millones de lectores."
1012,The+Da+Vinci+Code,Dan Brown,3.82,"An ingenious code hidden in the works of Leonardo da Vinci.A desperate race through the cathedrals and castles of Europe.An astonishing truth concealed for centuries . . . unveiled at last.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever."
1014,The+Monk+Who+Sold+His+Ferrari,Robin Sharma,4,"After a bizarre encounter with his lost cousin, Julian Mantle— a former high-powered lawyer who suddenly vanished into the Himalayas— Jonathan Landry is compelled to travel across the planet to retrieve letters and mementos that carry the extraordinary secrets that Julian discovered throughout his life. On a remarkable journey that includes visits to the sensual tango halls of Buenos Aires, the haunting catacombs of Paris, the gleaming towers of Shanghai and the mystical deserts of Sedona, The Secret Letters of The Monk Who Sold His Ferrari reveals astounding insights on reclaiming your personal power, being true to yourself and fearlessly living your dreams."
1015,The+Girl+Who+kicked+the+hornets'+nest,Stieg Larsson,4.22,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life.Once upon a time, she was a victim. Now Salander is fighting back.~from the jacket"
1016,Stone+Cold,David Baldacci,4.13,"The #1 bestselling author of The Collectors and Simple Genius returns with STONE COLD...an unforgetable novel of revenge, conspiracy, and murder that brings a band of unlikely heroes face-to-face with their greatest threat.Oliver Stone, the leader of the mysterious group that calls itself the Camel Club, is both feared and respected by those who've crossed his path. Keeping a vigilant watch over our leaders in Washington D.C., the Camel Club has won over some allies, but it has also earned formidable enemies-including those in power who will do anything to prevent Stone and his friends from uncovering the hidden, secret work of the government.Annabelle Conroy, an honorary member of the Camel Club, is also the greatest con artist of her generation. She has swindled forty million dollars from casino king Jerry Bagger, the man who murdered her mother. Now he's hot on her trail with only one goal in mind: Annabelle's death. But as Stone and the Camel Club circle the wagons to protect Annabelle, a new opponent, who makes Bagger's menace pale by comparison, suddenly arises. One by one, men from Stone's shadowy past are turning up dead. Behind this slaughter stands one man: Harry Finn. To almost all who know him, Finn is a doting father and loving husband who uses his skills behind the scenes to keep our nation safe. But the other face of Harry Finn is that of an unstoppable killer who inevitably sets his lethal bull's-eye on Oliver Stone. And with Finn, Stone may well have met his match. As Annabelle and the Camel Club fight for their lives, the twists and turns whipsaw, leading to a finale that is as explosive as it is shattering. And when buried secrets are at last violently resurrected, the members of the Camel Club left standing will be changed forever. With unrelenting pacing, stunning reversals, and two of the most compelling characters in modern fiction, STONE COLD is David Baldacci writing at his breathtaking best."
1017,How+to+win+friends+and+influence+people,Dale Carnegie,4.18,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment."
1020,Stop+Complaining:+Start+Thinking,J.P. Vaswani,5," How to Stop Complaining &amp; Start Being Productive! (Positive Thinking Book): Self Esteem, How to Be Happy, Goal Setting, Motivate Yourself, Be Productive  Have you ever experienced such periods of life when you feel that you’re drowning, and trying desperately to keep afloat. You’ve just lifted your head over the water for a moment to take a sip of air, and the next moment you have plunged to depth again? Different situations and emotions make you feel a victim of a cruel world – and you think that this happens only to you? It’s seldom that everything in life goes according to our plans. However, hardships on our way serve as valuable lessons for our personal growth. The problems we face allow us to evaluate the victorious moments better and to look with the perspective at the beauty of these hard challenges. It’s practically impossible to avoid challenges with all the complexities of today’s life. As a rule, we usually consider all forms of discomfort as something that should be avoided. However, this attitude only feeds our suffering. With our endless cycle of thoughts, we feed the situation emotionally, that is we create an unconscious cycle which doesn’t only paralyze us physically, but also provides zero support in solving the existing problem.  Here Is A Preview Of What You'll Learn…    Change of Perception 
   Cleaning the Past 
   How Not to Repeat 
   The Errors of Your Past? 
   Is Life Without Suffering Possible? 
   How do We Destroy Our Life? 
 "
1021,The+Elusive+Flame,Kathleene Woodiwiss,4.02,"A woman in desperate straits ... A fearless man ... A marriage of convenience on turbulent waters ...Cerynise Kendall has been left destitute and in dire need following the death of her doting patron and protectress. A brilliant young artist tossed from her home with only the clothes on her back, Cerynise must now turn to a childhood companion for assistance --- the dashing sea captain Beauregard Birmingham --- and beg him to provide her with passage to the Carolinas. She seeks a new home and a new life across the waters, but all depends upon the kindness of a charming adventurer who was once the object of her youthful infatuation.Beneath Birmingham's rugged exterior beats a heart as large and wild as the Atlantic, and Beau readily agrees to aid Cerynise --- even offering her his name in marriage, albeit temporarily, to protect his longtime friend from scandal. But perilous secrets, determined enemies and tempests of the sea and soul threaten their future and safe passage even as bonds of camaraderie are miraculously reforged as bonds of desire ... and affection becomes passion and love."
1022,That+cowboy's+Kids,Debra Salonen,3.81,"The cowboy and his kids need her helpVictim advocate Abby Davis wants a new job. One that involves shorter hours and less stress. But she's never been able to ignore a family in trouble. And the handsome cowboy waiting outside her office with his two little girls has a story that touches her heart. A robbery at an ATM has left his ex-wife dead and brought huge changes to Tom Butler's life. Overnight he's gone from single man living a simple ranch life to single parent trying to cope with two grieving daughters. Abby can tell he's reluctant to seek help, but he'll do it for the kids. Now, instead of a new job, Abby has a new case. And spending time with the Butler girls means getting to know their father. It means discovering that to know Tom Butler is to love him.Home on the Ranch -- Cowboys, ranches, home and family-- stories you won't soon forget."
1024,The+Road+Less+travelled,M. Scott Peck,4.2,"Climbing above 20,000 ft in the Andes; delving into the bowels of the earth in abandoned mines; facing hostile cape buffalo; finding a route on isolated buttes in the Grand Canyon; negotiating the deadly perils of government EEO regulations; researching gold and molybdenum deposits; shooting rifle competition at a National level; hunting in twenty foreign countries for creatures rarely heard of, and often with no interpreter available.Been there. Done that.At 70 plus years, still doing it. The Fat Lady has yet to sing!"
1029,"The+fear+index,+The+house+of+silk,+Lethal,+The+haunting",,3,"""Each exciting volume of Select Editions contains four of today's best fiction novels, carefully chosen from bestselling authors as well as rising new stars, and specially edited for quick, efficient reading. From heartwarming family dramas and passionate romances, to pulse-pounding thrillers and brain-teasing mysteries, Select Editions has it all for book lovers who crave a great read. Our staff of editors culls through hundreds of manuscripts a year to bring our readers the very best of what's out there in the world of contemporary fiction. Even better, we specially edit these fabulous titles so that today's busy readers will actually have time to finish each story. Plus, Select Editions offers a great value-four books for the price of one. • Handsomely bound in one easy-to-carry volume. • Specially edited for quick and efficient reading """
1031,The+Solar+System+,Scholastic,4.37,"In Wonders of the Solar System – the book of the acclaimed BBC TV series – Professor Brian Cox will take us on a journey of discovery where alien worlds from your imagination become places we can see, feel and visit.The Wonders of the Solar System – from the giant ice fountains of Enceladus to the liquid methane seas of Titan and from storms twice the size of the Earth to the tortured moon of Io with its giant super-volcanoes – is the Solar System as you have never seen it before.In this series, Professor Brian Cox will introduce us to the planets and moons beyond our world, finding the biggest, most bizarre, most powerful natural phenomena. Using the latest scientific imagery along with cutting edge CGI and some of the most spectacular and extreme locations on Earth, Brian will show us Wonders never thought possible.Employing his trademark clear, authoritative, yet down-to-earth approach, Brian will explore how these previously unseen phenomena have dramatically expanded our horizons with new discoveries about the planets, their moons and how they came to be the way they are."
1040,The+Sky+is+Falling,Sidney Sheldon,3.55,"Washington TV anchorwoman Dana Evans (from Best Laid Plans) suspects the accidents befalling the rich Winthrop family, killing all five members, were murders. Like Chicken Little and the sky falling, she chases clues across the world to unravel an international conspiracy. The inheritance goes to charity, so money is not the motive. Her Sarajevo ward Kemal gets expelled, a prosthetic arm, then often naps afternoons under care of kindly new housekeeper. Unseen agents follow her, bug hotel rooms, while an evil mastermind voice overhears taped conversations and supervises regular secret auctions, inviting armed wealthy customers. Witnesses and informants die before, and after meetings. Friends become foes, nobody can be trusted."
1041,Diary+of+a+Wimpy+kid(A+novel+in+cartoons),Jeff Kinney,4.75,"Boys don’t keep diaries—or do they?The launch of an exciting and innovatively illustrated new series narrated by an unforgettable kid every family can relate toIt’s a new school year, and Greg Heffley finds himself thrust into middle school, where undersized weaklings share the hallways with kids who are taller, meaner, and already shaving. The hazards of growing up before you’re ready are uniquely revealed through words and drawings as Greg records them in his diary.In book one of this debut series, Greg is happy to have Rowley, his sidekick, along for the ride. But when Rowley’s star starts to rise, Greg tries to use his best friend’s newfound popularity to his own advantage, kicking off a chain of events that will test their friendship in hilarious fashion.Author/illustrator Jeff Kinney recalls the growing pains of school life and introduces a new kind of hero who epitomizes the challenges of being a kid. As Greg says in his diary, “Just don’t expect me to be all ‘Dear Diary’ this and ‘Dear Diary’ that.” Luckily for us, what Greg Heffley says he won’t do and what he actually does are two very different things.Since its launch in May 2004 on Funbrain.com, the Web version of Diary of a Wimpy Kid has been viewed by 20 million unique online readers. This year, it is averaging 70,000 readers a day"
1042,Diary+of+a+Wimpy+kid(Rodrick+rules),Jeff Kinney,4.21,"High Quality Content by WIKIPEDIA articles! Diary of a Wimpy Kid: Rodrick Rules is a realistic fiction novel written by American author and cartoonist Jeff Kinney, the second book in the Diary of a Wimpy Kid series, and is preceded by Diary of a Wimpy Kid. The narrator of the book is Greg Heffley, and it reads like a journal. This book is being made into a movie."
1043,Diary+of+A+Wimpy+Kid(The+Ugly+Truth),Jeff Kinney,0,"""Diary of a Wimpy Kid: The Ugly Truth"" is the massively funny fifth title in the highly-illustrated, bestselling and award-winning ""Diary of a Wimpy Kid"" series by Jeff Kinney. Perfect for both boys and girls of 8+, reluctant readers and all the millions of devoted Wimpy Kid fans out there. You can also discover Greg on the big screen in any one of the three ""Wimpy Kid Movie"" box office smashes. The massively funny fifth book in the bestselling and award-winning ""Diary of a Wimpy Kid"" series. Greg Heffley has always been in a hurry to grow up. But is getting older really all it's cracked up to be? Suddenly Greg is dealing with the pressures of boy-girl parties, increased responsibilities, and even the awkward changes that come with getting older. And after a fight with his best friend Rowley, it looks like Greg is going to have to face the ""ugly truth"" all by himself...Praise for Jeff Kinney and the ""Diary of a Wimpy Kid"" series: ""The world has gone crazy for Jeff Kinney's ""Diary of a Wimpy Kid"" series"". (""Sun""). ""Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet"". (""Independent""). ""Hilarious!"". (""Sunday Telegraph""). ""The most hotly anticipated children's book of the year is here - ""Diary of a Wimpy Kid"""". (""The Big Issue""). As well as being an international bestselling author, Jeff Kinney is also an online developer and designer. He is the creator of the children's virtual world, poptropica where you can also find the Wimpy Kid boardwalk. He was named one of ""Time"" magazine's 100 Most Influential People in 2009. He lives with his family in Massachusetts, USA."
1045,The+Count+of+Monte+Cristo,Alexandre Dumas,4.24,"In 1815 Edmond Dantès, a young and successful merchant sailor who has just recently been granted the succession of his erstwhile captain Leclère, returns to Marseille to marry his Catalan fiancée Mercédès. Thrown in prison for a crime he has not committed, Edmond Dantès is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to unearth the treasure and use it to plot the destruction of the three men responsible for his incarceration."
1046,The+Princess+Diaries(+After+eight),Meg Cabot,3.7,"At last, Mia is a junior. An upperclassperson. Free of her responsibilities as student body president. So why is it that everything is going so terribly wrong? What is she doing in Intro to Creative Writing? When she has made it through Algebra and Geometry, why must she be faced with Precalculus? And for the love of all that is Genovian, why has Lilly nominated her for school prez again? All this is nothing compared to the news Michael springs on her, however. On top of all the mathematical strife, her beloved boyfriend is leaving for Japan for a year. Precalc has nothing on preparing for the worst separation everTurns out there is one way she might convince Michael to stay. But will she? Or won't she? No matter what, Mia seems headed for disaster."
1047,The+Princess+Diaries,Meg Cabot,3.78,"The first book in the #1 
  New York Times 
bestselling Princess Diaries series by Meg Cabot.Mia Thermopolis is pretty sure there’s nothing worse than being a five-foot-nine, flat-chested freshman, who also happens to be flunking Algebra. Is she ever in for a surprise.First Mom announces that she’s dating Mia’s Algebra teacher. Then Dad has to go and reveal that he is the crown prince of Genovia. And guess who still doesn’t have a date for the Cultural Diversity Dance?The Princess Diaries is the first book in the beloved, bestselling series that inspired the feature film starring Anne Hathaway and Julie Andrews."
1048,Who+Moved+My+Cheese,Dr. Spencer Johnson,3.78,این داستان شگفت انگیز در مورد ۲ موش و ۲ آدم کوچولو است که در مارپیچی، به دنبال پنیر خود می گردند. در واقع این چهار شخصیت تداعی کننده ی قسمت های ساده و پیچیده ی درون ما می باشد.اسپنسر جانسوناسپنسر جانسون متولد ۱۹۳۸ یک پزشک، نویسنده و سخنران اهل ایالت متحده آمریکا که بیشتر به خاطر کتاب های افسانه ای ژانر کودک شناخته می شود. کتاب انگیزشی «چه کسی پنیر مرا جابجا کرد؟» موفق ترین کتاب او که در لیست پرفروش ترین کتاب های روزنامه نیویورک تایمز جای گرفته است به ۳۷ زبان ترجمه شده و تاکنون بیش از ۲۸ میلیون نسخه در سراسر جهان به فروش رفته است. ادامه …در این فایل صوتی اسپنسر جانسون به شما خواهد آموخت که چگونه افکار کهنه تان را دور بریزید و باورهایتان را تغییر دهید.این داستان شگفت انگیز در مورد چهار شخصیت است که در مارپیچی زندگی میکنند و به دنبال پنیر میگردند تا آنها را سیر کند و شادمان سازد.در واقع پنیر استعاره از هر آنچه در زندگی میخواهید است.گوش دادن به کتاب صوتی چه کسی پنیر مرا جابجا کرد بیش از ۱ ساعت طول نمی کشد ولی نگرشی که در ورای آن نهفته است شاید در تمام طول عمر بر جای بماند و بتوانید از موفقیت و پیشرفت بیشتری در کار و زندگی خود برخوردار شوید.ازهمین حالا تصمیم بگیرید که آینده ی خود را تغییر دهید و در مسیرجدیدی گام بردارید چون هر ثانیه که زودتر تغییر کنید به نفعتان است.برای  دانلود کتاب صوتی چه کسی پنیر مرا جا به جا کرد  به سایت رادیو مثبت مراجعه کنید.
1049,Sisters,Diana G Gallagher,4.07,"Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate -- a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.A provocative novel that raises some important ethical issues, My Sister's Keeper is the story of one family's struggle for survival at all human costs and a stunning parable for all time."
1050,Chicken+Soup+for+the+Soul,Jack Canfield and Mark Victor Hansen,3.96,"Two of America's best-loved inspirational speakers share the very best of their collected stories and favorite tales that have touched the hearts of people everywhere. Canfield and Hansen bring you wit and wisdom, hope and empowerment to buoy you through life's dark moments."
1051,The+Da+Vinci+Code,Dan Brown,3.82,"An ingenious code hidden in the works of Leonardo da Vinci.A desperate race through the cathedrals and castles of Europe.An astonishing truth concealed for centuries . . . unveiled at last.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever."
1052,Patriot+games,Tom Clancy,4.13,"
  Tom Clancy's Patriot Games is filled with the exceptional realism and authenticity that distinguished the author's two previous bestsellers, Hunt for Red October and Red Storm Rising. Patriot Games puts us on the cutting edge of another type of war — the international battle of terrorism.
It is fall. Years before the defection of a Soviet submarine will send him hurtling into confrontation with the Soviets, historian, ex-Marine and CIA analyst Jack Ryan is vacationing in London with his wife and young daughter, when a terrorist attack takes place before his eyes. Instinctively, he dives forward to break it up, and is shot. It is not until he wakes up in the hospital that he learns whose lives he has saved -- the Prince and Princess of Wales and their new young son -- and which enemies he has made -- the Ulster Liberation Army, an ultra-left-wing splinter of the IRA.By his impulsive act, he has gained both the gratitude of a nation and then enmity of hits most dangerous men -- men who do not sit on their hate. And in the weeks and months to come, it is Jack Ryan, and his family, who will become the targets of that hate."
1053,The+Night+train+at+Deoli+and+other+stories,Ruskin Bond,4.16,A collection of short stories on small town life by one of India's novelists.
1054,Chicken+Soup+for+the+Soul(6th+bowl),Jack Canfield and Mark Victor Hansen,4.07,"Jack and Mark's latest batch of wisdom, love and inspiration will warm your hearts and nourish your souls, whether you're ""tasting"" Chicken Soup for the first time, or have dipped your ""spoon"" many times before. In the tradition of all the books in the original Chicken Soup series, this volume focuses on love; parents and parenting; teaching and learning; death and dying; perspective; overcoming obstacles; and eclectic wisdom. Contributors to A 6th Bowl of ""Chicken Soup for the Soul"" include: Erma Bombeck, Edgar Guest, Jay Leno, Rachel Naomi Remen, Robert A. Schuller, Dr. James Dobson, Dolly Parton and Cathy Rigby. A 6th Bowl is guaranteed to make anyone looking for inspiration and renewal an eternal ""soup lover"". Discover that there is only one ""recipe"" for compassion, wisdom, inspiration and love: ""Chicken Soup for the Soul""."
1056,Chicken+Soup++for+the+soul(3rd+serving),Jack Canfield and Mark Victor Hansen,3.99,"NEW YORK TIMES BESTSELLER!Bestselling authors Jack Canfield and Mark Victor Hansen present another joyful collection of stories for your reading pleasure. Within the pages of ""A 3rd Serving of Chicken Soup for the Soul"" you will find shining examples of the best qualities we all share as human beings: compassion, grace, forgiveness, hope, courage, dedication, generosity and faith.Stories may be the most powerful teaching tool available to us, especially when the lessons being taught are love, necessary losses, respect and values. In this volume of ""Chicken Soup for the Soul,"" the authors share more collected wisdom on love, parenting, teaching, learning, death, attitude and overcoming obstacles. This book will warm your heart, brighten your darkest day and put a smile on your face that will last a lifetime."
1057,Chicken+Soup+for+the+Soul(4th+serving),Jack Canfield and Mark Victor Hansen,3.99,"NEW YORK TIMES BESTSELLER!Bestselling authors Jack Canfield and Mark Victor Hansen present another joyful collection of stories for your reading pleasure. Within the pages of A 3rd Serving of Chicken Soup for the Soul you will find shining examples of the best qualities we all share as human beings: compassion, grace, forgiveness, hope, courage, dedication, generosity and faith.Stories may be the most powerful teaching tool available to us, especially when the lessons being taught are love, necessary losses, respect and values. In this volume of Chicken Soup for the Soul, the authors share more collected wisdom on love, parenting, teaching, learning, death, attitude and overcoming obstacles. This book will warm your heart, brighten your darkest day and put a smile on your face that will last a lifetime."
1059,Oxford+beginner's+French+Dictionary,Oxford,4.5,"Each Oxford Beginner's Bilingual Dictionary is designed to offer English speaking adult learners a comprehensive, straightforward introduction to foreign languages, covering all the vocabulary needed for the first years of study, along with notes on grammar and usage and guidance on the culture where the language is spoken. These easy-to-use references break from standard dictionary design. Clear entries with examples showing how the language works in context make it quick and simple to find the translation you're looking for, and the bold, color layout makes the dictionary easy to navigate, allowing you to get to grips with the language fast. All main translations are preceded by an equals sign so that they are instantly identifiable, and all parts of the entry are spelled out in full, avoiding confusing jargon and abbreviations. Grammar and usage notes throughout the text warn of possible translation pitfalls, and thousands of example phrases show how the language is used in real life. At the center of each dictionary is a section devoted to useful information on the country, countries, or regions where the language is spoken. This includes background on lifestyles and culture, tips on etiquette and interaction, and a phrasefinder that provides handy phrases for use when traveling abroad. The dictionary also includes a section on core vocabulary--all the words you absolutely must know at a beginner's level, whether you are a student, traveller, or business person. The Oxford Beginner's Bilingual Dictionary is the perfect tool for adult language learners who need basic vocabulary at their fingertips fast."
1060,Easy+Way+to+French,Dr. Sanjay Kumar,3.74,"In Romeo and Juliet, Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rather, the Montagues and the Capulets are on opposite sides in a blood feud and are trying to kill each other on the streets of Verona. Every time a member of one of the two families dies in the fight, his relatives demand the blood of his killer. Because of the feud, if Romeo is discovered with Juliet by her family, he will be killed. Once Romeo is banished, the only way that Juliet can avoid being married to someone else is to take a potion that apparently kills her, so that she is burried with the bodies of her slain relatives. In this violent, death-filled world, the movement of the story from love at first sight to the union of the lovers in death seems almost inevitable.What is so striking about this play is that despite its extraordinary setting (one perhaps reflecting Elizabethan attitudes about hot-blooded Italians), it has become the quintessential story of young love. Because most young lovers feel that they have to overcome giant obstacles in order to be together, because they feel that they would rather die than be kept apart, and especially because the language Shakespeare gives his young lovers is so exquisite, allowing them to say to each other just what we would all say to a lover if we only knew how, it is easy to respond to this play as if it were about all young lovers rather than about a particular couple in a very unusual world. (When the play was rewritten in the eighteen century as The History and Fall of Caius Marius, the violent setting became that of a particularly discordant period in classical Rome; when Leonard Berstein rewrote the play as West Side Story, he chose the violent world of New York street gangs.)"
1061,The+Adventures+Of+Tom+Sawyer,Mark Twain,3.9,"An adventure story for children, The Adventures of Tom Sawyer is a fun-filled book that shows life along the Mississippi River in the 1840s. Written by Mark Twain, the book shows masterfully-done satire, racism, childhood, and the importance of loyalty and courage- no matter the cost."
